Index,Height(Inches),Weight(Pounds),Height_m,Weight_kg,BMI
80,67.73,122.52,1.720342,55.57409184,18.78
198,68.24,128.3,1.7332959999999995,58.19585360000001,19.37
39,67.81,131.35,1.722374,59.5793092,20.08
25,67.63,141.85,1.7178019999999998,64.3420252,21.8
123,69.42,128.27,1.763268,58.18224584000001,18.71
196,65.8,120.84,1.67132,54.81205728,19.62
30,65.44,113.89,1.662176,51.65959288,18.7
20,67.13,124.04,1.705102,56.26355168,19.35
144,68.34,127.58,1.735836,57.86926736,19.21
87,67.36,140.89,1.710944,63.90657688,21.83
115,70.01,122.04,1.778254,55.356367680000005,17.51
174,65.28,119.52,1.658112,54.21331584,19.72
6,68.7,123.3,1.74498,55.9278936,18.37
127,66.5,109.51,1.6890999999999998,49.67285992,17.41
118,69.76,136.06,1.771904,61.71572752,19.66
74,64.29,102.84,1.632966,46.64740128,17.49
141,69.52,136.21,1.7658079999999998,61.783766320000005,19.81
99,66.77,128.14,1.695958,58.12327888,20.21
173,67.76,124.65,1.721104,56.5402428,19.09
97,66.29,120.03,1.683766,54.44464776,19.2
170,65.99,111.27,1.6761459999999997,50.47118184,17.96
98,63.43,123.1,1.611122,55.8371752,21.51
32,65.81,120.75,1.671574,54.771234,19.6
13,68.3,125.61,1.7348199999999998,56.97569112,18.93
36,69.21,128.75,1.7579339999999997,58.39997,18.9
120,68.83,136.9,1.748282,62.0967448,20.32
43,69.66,139.67,1.769364,63.35319463999999,20.24
190,68.08,101.47,1.729232,46.02598024,15.39
91,68.13,136.55,1.7305019999999998,61.93798760000001,20.68
137,65.92,116.63,1.674368,52.90243496,18.87
52,67.33,126.33,1.710182,57.30227736,19.59
128,67.93,119.31,1.725422,54.11806152,18.18
163,69.37,139.05,1.761998,63.07196760000001,20.32
42,65.18,124.86,1.655572,56.63549712,20.66
119,65.46,115.94,1.6626839999999998,52.58945648,19.02
114,65.95,111.9,1.67513,50.7569448,18.09
27,70.84,142.42,1.799336,64.60057264,19.95
140,69.98,130.4,1.777492,59.1483968,18.72
101,64.87,102.09,1.647698,46.30720728,17.06
112,70.05,127.61,1.77927,57.88287512,18.28
3,69.4,153.03,1.76276,69.41318376,22.34
78,65.48,132.96,1.663192,60.30959232,21.8
47,66.88,145.68,1.6987519999999998,66.07928256,22.9
188,66.59,120.92,1.691386,54.84834464,19.17
192,65.52,110.95,1.664208,50.3260324,18.17
86,69.13,139.47,1.755902,63.26247624,20.52
162,64.39,109.88,1.635506,49.84068896,18.63
37,66.8,141.8,1.6967199999999998,64.3193456,22.34
191,70.19,144.99,1.7828259999999998,65.76630408,20.69
62,69.0,137.55,1.7526,62.39157960000001,20.31
23,63.48,97.9,1.6123919999999998,44.4066568,17.08
142,65.18,113.4,1.655572,51.4373328,18.77
102,67.09,130.35,1.704086,59.1257172,20.36
34,70.6,136.22,1.7932399999999995,61.78830224,19.21
12,67.62,114.14,1.717548,51.77299088,17.55
195,69.66,145.59,1.769364,66.03845928,21.09
160,65.31,115.91,1.658874,52.57584872,19.11
7,69.8,141.49,1.7729199999999998,64.17873208,20.42
28,67.49,131.55,1.7142459999999995,59.6700276,20.31
121,65.8,119.88,1.67132,54.37660896,19.47
5,67.79,144.3,1.721866,65.4533256,22.08
33,67.82,125.79,1.7226279999999998,57.05733768,19.23
143,68.01,125.33,1.727454,56.84868536,19.05
146,68.26,116.46,1.733804,52.82532432,17.57
110,63.84,127.19,1.621536,57.69236648,21.94
145,65.18,107.16,1.655572,48.60691872,17.73
11,66.49,127.45,1.6888459999999998,57.8103004,20.27
63,68.3,129.76,1.7348199999999998,58.85809792,19.56
113,70.19,131.64,1.7828259999999998,59.71085088,18.79
147,68.57,133.84,1.7416779999999998,60.70875328,20.01
167,68.39,115.23,1.737106,52.26740616,17.32
1,65.78,112.99,1.670812,51.25136008,18.36
199,68.02,127.47,1.7277079999999998,57.81937224,19.37
154,66.01,140.15,1.676654,63.5709188,22.61
